group,epsilon,mean,std,n
baseline,0.0,500.0,0.0,3
baseline,0.01,500.0,0.0,3
baseline,0.02,500.0,0.0,3
baseline,0.05,315.3333333333333,54.68395051973151,3
baseline,0.1,66.35555555555555,75.26628530559817,3
baseline,0.2,23.07777777777778,10.954873767381311,3
defense,0.0,264.5,205.22131414104575,3
defense,0.01,268.3666666666667,201.95861237172113,3
defense,0.02,277.0111111111111,195.36685245209085,3
defense,0.05,342.3333333333333,170.43498271579497,3
defense,0.1,387.64444444444445,148.23806053977026,3
defense,0.2,199.12222222222218,125.66203498685286,3
