seed,episode,clean,trigger
seed1,1,500.0,13.0
seed1,2,500.0,17.0
seed1,3,500.0,15.0
seed1,4,500.0,15.0
seed1,5,500.0,14.0
seed1,6,500.0,13.0
seed1,7,500.0,16.0
seed1,8,500.0,13.0
seed1,9,500.0,14.0
seed1,10,500.0,16.0
seed1,11,500.0,13.0
seed1,12,500.0,17.0
seed1,13,500.0,14.0
seed1,14,500.0,18.0
seed1,15,500.0,17.0
seed1,16,500.0,13.0
seed1,17,500.0,14.0
seed1,18,500.0,18.0
seed1,19,500.0,16.0
seed1,20,500.0,11.0
seed1,21,500.0,13.0
seed1,22,500.0,16.0
seed1,23,500.0,17.0
seed1,24,500.0,15.0
seed1,25,500.0,17.0
seed1,26,500.0,14.0
seed1,27,500.0,13.0
seed1,28,500.0,15.0
seed1,29,500.0,17.0
seed1,30,500.0,15.0
