#{"t_start": 1760168200.6809075, "env_id": "None"}
r,l,t
9.0,9,78.6552
8.0,8,78.660234
8.0,8,78.665887
8.0,8,78.672044
9.0,9,78.678217
8.0,8,78.684809
10.0,10,78.691363
9.0,9,78.699948
9.0,9,78.706564
9.0,9,78.713722
8.0,8,78.719764
9.0,9,78.726909
10.0,10,78.734605
9.0,9,78.74184
9.0,9,78.748317
10.0,10,78.755008
8.0,8,78.761159
10.0,10,78.76937
10.0,10,78.778144
11.0,11,78.786417
10.0,10,78.792956
10.0,10,78.804082
10.0,10,78.809272
8.0,8,78.815932
9.0,9,78.822084
10.0,10,78.8313
10.0,10,78.838449
10.0,10,78.848029
9.0,9,78.854585
8.0,8,78.863235
9.0,9,78.871294
10.0,10,78.880969
12.0,12,78.889625
8.0,8,78.895783
9.0,9,78.901316
10.0,10,78.910345
8.0,8,78.916474
10.0,10,78.923151
9.0,9,78.929708
10.0,10,78.93729
9.0,9,78.943519
10.0,10,78.952183
9.0,9,78.957915
9.0,9,78.965564
10.0,10,78.973773
10.0,10,78.980357
10.0,10,78.988932
9.0,9,78.995036
9.0,9,79.001198
9.0,9,79.00754
10.0,10,79.016641
9.0,9,79.022691
12.0,11,79.030424
10.0,10,79.037678
10.0,10,79.046386
10.0,10,79.053612
9.0,9,79.061312
9.0,9,79.068513
9.0,9,79.075255
9.0,9,79.080431
10.0,10,79.088099
10.0,10,79.092702
10.0,10,79.099927
13.0,12,79.110168
9.0,9,79.115827
9.0,9,79.121974
9.0,9,79.129709
8.0,8,79.135845
10.0,10,79.142098
10.0,10,79.151797
9.0,9,79.158331
8.0,8,79.163975
9.0,9,79.171614
9.0,9,79.177788
13.0,12,79.186783
10.0,10,79.195581
9.0,9,79.203303
8.0,8,79.210036
10.0,10,79.217756
10.0,10,79.224579
10.0,10,79.234331
9.0,9,79.240622
9.0,9,79.24672
8.0,8,79.253778
10.0,10,79.262863
10.0,10,79.270431
9.0,9,79.277726
9.0,9,79.286343
9.0,9,79.292892
10.0,10,79.299554
9.0,9,79.308409
10.0,10,79.315556
10.0,10,79.323769
9.0,9,79.329473
9.0,9,79.337925
9.0,9,79.344488
9.0,9,79.352131
9.0,9,79.358291
9.0,9,79.365587
8.0,8,79.373538
9.0,9,79.380835
10.0,10,79.390054
9.0,9,79.396298
9.0,9,79.404361
9.0,9,79.412555
9.0,9,79.41975
9.0,9,79.425675
10.0,10,79.436532
9.0,9,79.44538
8.0,8,79.452438
10.0,9,79.459744
9.0,9,79.46594
10.0,10,79.476239
9.0,9,79.482287
8.0,8,79.488989
10.0,10,79.498247
9.0,9,79.505519
9.0,9,79.514093
10.0,10,79.524521
10.0,10,79.533426
9.0,9,79.541803
10.0,10,79.550912
12.0,12,79.56175
8.0,8,79.569717
10.0,10,79.576954
9.0,9,79.58459
8.0,8,79.59187
12.0,12,79.601376
8.0,8,79.607851
8.0,8,79.615791
9.0,9,79.621871
9.0,9,79.630714
9.0,9,79.636264
9.0,9,79.644889
9.0,9,79.652503
10.0,10,79.660655
9.0,9,79.670297
9.0,9,79.677383
10.0,10,79.684678
