#{"t_start": 1760168200.6778426, "env_id": "None"}
r,l,t
18.0,18,1.334171
16.0,16,1.335679
11.0,11,1.336684
14.0,14,1.337186
11.0,11,1.338696
15.0,15,1.340291
24.0,24,1.340812
26.0,26,1.343902
58.0,58,1.346967
22.0,22,1.350597
14.0,14,1.351109
20.0,20,1.352638
10.0,10,1.354161
12.0,12,1.355245
17.0,17,1.356779
17.0,17,1.356779
72.0,72,1.362524
11.0,11,1.363028
14.0,14,1.365066
19.0,19,1.366593
24.0,24,1.368102
13.0,13,1.368102
12.0,12,1.36963
32.0,32,1.371775
47.0,47,1.374849
31.0,31,1.376394
11.0,11,1.37794
18.0,18,1.379492
17.0,17,1.381574
25.0,25,1.383632
24.0,24,1.38516
20.0,20,1.386766
14.0,14,1.387271
12.0,12,1.388276
26.0,26,1.389821
21.0,21,1.391901
21.0,21,1.392426
18.0,18,1.395591
20.0,20,1.396096
20.0,20,1.39812
34.0,34,1.400145
25.0,25,1.402688
41.0,41,1.405199
17.0,17,1.406705
12.0,12,1.40721
32.0,32,1.415263
49.0,49,1.445753
52.0,52,1.472144
13.0,13,1.476745
13.0,13,1.483972
26.0,26,1.49623
13.0,13,1.502368
12.0,12,1.509048
17.0,17,1.518637
20.0,20,1.529259
18.0,18,1.538312
35.0,35,1.553917
64.0,64,1.58933
34.0,34,1.607787
20.0,20,1.618076
29.0,29,1.631967
16.0,16,1.640603
34.0,34,1.658939
14.0,14,1.665078
14.0,14,1.671613
21.0,21,1.68171
21.0,21,1.690852
22.0,22,1.701376
25.0,25,1.713179
69.0,69,1.746122
61.0,61,1.777507
17.0,17,1.786651
38.0,38,1.803947
16.0,16,1.811574
11.0,11,1.817672
10.0,10,1.821816
17.0,17,1.832048
13.0,13,1.839337
11.0,11,1.845507
16.0,16,1.857032
18.0,18,1.867955
30.0,30,1.885552
25.0,25,1.898459
13.0,13,1.906132
12.0,12,1.91226
18.0,18,1.925802
11.0,11,1.931411
19.0,19,1.943
19.0,19,1.954896
14.0,14,1.961169
11.0,11,1.968867
12.0,12,1.977049
29.0,29,1.995525
13.0,13,2.004788
16.0,16,2.013583
15.0,15,2.019736
10.0,10,2.028062
20.0,20,2.039864
19.0,19,2.050626
22.0,22,2.064006
15.0,15,2.073812
9.0,9,2.078447
18.0,18,2.091841
21.0,21,2.103424
19.0,19,2.114252
11.0,11,2.121139
14.0,14,2.130748
17.0,17,2.140962
23.0,23,2.154843
38.0,38,2.176157
13.0,13,2.185827
11.0,11,2.190415
21.0,21,2.20336
11.0,11,2.20966
14.0,14,2.222852
13.0,13,2.234676
10.0,10,2.245532
14.0,14,2.256759
19.0,19,2.27276
12.0,12,2.283598
11.0,11,2.298306
10.0,10,2.310128
25.0,25,2.335083
12.0,12,2.349921
11.0,11,2.363236
25.0,25,2.38558
9.0,9,2.439826
15.0,15,2.476838
21.0,21,2.504899
15.0,15,2.512971
15.0,15,2.526773
14.0,14,2.541456
14.0,14,2.551846
20.0,20,2.564651
18.0,18,2.581519
17.0,17,2.592057
22.0,22,2.611746
14.0,14,2.623177
11.0,11,2.630224
11.0,11,2.638041
11.0,11,2.645347
29.0,29,2.665919
16.0,16,2.681076
24.0,24,2.702073
30.0,30,2.726699
13.0,13,2.737148
24.0,24,2.752706
13.0,13,2.761569
16.0,16,2.773555
13.0,13,2.786876
18.0,18,2.800731
28.0,28,2.819112
10.0,10,2.82616
19.0,19,2.836824
13.0,13,2.848513
9.0,9,2.85629
23.0,23,2.876515
13.0,13,2.885895
16.0,16,2.898607
10.0,10,2.905774
21.0,21,2.924122
17.0,17,2.937409
13.0,13,2.946921
16.0,16,2.960476
13.0,13,2.97015
27.0,27,2.990837
16.0,16,3.002687
11.0,11,3.013245
11.0,11,3.022137
15.0,15,3.031458
12.0,12,3.039218
34.0,34,3.065346
11.0,11,3.073001
12.0,12,3.080689
26.0,26,3.099725
11.0,11,3.108291
17.0,17,3.120959
12.0,12,3.129598
17.0,17,3.142209
35.0,35,3.167707
16.0,16,3.180228
16.0,16,3.190658
11.0,11,3.200002
12.0,12,3.211006
26.0,26,3.232846
17.0,17,3.248819
17.0,17,3.260706
17.0,17,3.272678
12.0,12,3.282598
12.0,12,3.291297
10.0,10,3.299129
10.0,10,3.307409
9.0,9,3.314359
23.0,23,3.331694
9.0,9,3.337893
9.0,9,3.346779
13.0,13,3.355918
20.0,20,3.37222
16.0,16,3.384168
26.0,26,3.403783
11.0,11,3.413967
14.0,14,3.425071
14.0,14,3.433131
11.0,11,3.442413
11.0,11,3.452604
10.0,10,3.459664
25.0,25,3.480444
13.0,13,3.492476
22.0,22,3.511054
12.0,12,3.522431
15.0,15,3.536211
12.0,12,3.546631
10.0,10,3.553883
15.0,15,3.567366
20.0,20,3.584107
21.0,21,3.59698
11.0,11,3.604772
24.0,24,3.622574
11.0,11,3.631545
15.0,15,3.643558
11.0,11,3.651116
20.0,20,3.667444
10.0,10,3.677762
14.0,14,3.685823
11.0,11,3.695065
17.0,17,3.711357
36.0,36,3.746818
18.0,18,3.76388
16.0,16,3.780222
12.0,12,3.791023
17.0,17,3.807344
11.0,11,3.814694
33.0,33,3.842999
19.0,19,3.864789
19.0,19,3.885523
10.0,10,3.894247
9.0,9,3.90377
11.0,11,3.915668
11.0,11,3.92614
12.0,12,3.937816
12.0,12,3.949708
10.0,10,3.955762
33.0,33,3.988213
9.0,9,3.99758
12.0,12,4.010466
23.0,23,4.029756
15.0,15,4.038183
28.0,28,4.060769
12.0,12,4.072186
14.0,14,4.082525
12.0,12,4.096755
11.0,11,4.107441
16.0,16,4.119688
16.0,16,4.132311
16.0,16,4.147026
18.0,18,4.161899
10.0,10,4.171706
20.0,20,4.188326
14.0,14,4.201175
13.0,13,4.209338
9.0,9,4.217913
17.0,17,4.230597
14.0,14,4.241016
10.0,10,4.250481
16.0,16,4.350405
11.0,11,4.360073
12.0,12,4.375869
18.0,18,4.387984
35.0,35,4.417289
17.0,17,4.429342
11.0,11,4.437737
10.0,10,4.445816
13.0,13,4.457411
10.0,10,4.463995
17.0,17,4.47802
16.0,16,4.490023
12.0,12,4.499269
9.0,9,4.506056
13.0,13,4.51539
14.0,14,4.524572
12.0,12,4.53468
10.0,10,4.54577
10.0,10,4.552902
23.0,23,4.572467
14.0,14,4.584286
10.0,10,4.590725
9.0,9,4.596552
15.0,15,4.608187
12.0,12,4.617427
12.0,12,4.626302
20.0,20,4.642632
13.0,13,4.652019
13.0,13,4.663334
14.0,14,4.672151
9.0,9,4.67933
18.0,18,4.697409
9.0,9,4.707646
8.0,8,4.717235
12.0,12,4.7305
10.0,10,4.740881
12.0,12,4.761695
10.0,10,4.771079
12.0,12,4.785164
10.0,10,4.794206
16.0,16,4.809134
14.0,14,4.821083
16.0,16,4.834758
15.0,15,4.852021
8.0,8,4.863137
11.0,11,4.876504
17.0,17,4.891766
14.0,14,4.903234
14.0,14,4.915495
11.0,11,4.927694
13.0,13,4.94209
13.0,13,4.952992
13.0,13,4.964166
11.0,11,4.974428
13.0,13,4.986872
18.0,18,5.004712
14.0,14,5.016472
11.0,11,5.025063
11.0,11,5.036411
13.0,13,5.046765
16.0,16,5.059006
21.0,21,5.070096
14.0,14,5.080372
10.0,10,5.086601
15.0,15,5.096926
11.0,11,5.10524
13.0,13,5.115518
9.0,9,5.120836
11.0,11,5.131171
15.0,15,5.142005
15.0,15,5.154506
10.0,10,5.162231
13.0,13,5.174456
12.0,12,5.185058
9.0,9,5.194623
12.0,12,5.202193
13.0,13,5.214729
18.0,18,5.227227
18.0,18,5.241305
10.0,10,5.250191
16.0,16,5.263848
10.0,10,5.273931
15.0,15,5.287862
12.0,12,5.29756
20.0,20,5.314216
9.0,9,5.322908
15.0,15,5.336158
15.0,15,5.34441
9.0,9,5.356535
14.0,14,5.368823
16.0,16,5.382045
9.0,9,5.390761
13.0,13,5.450669
12.0,12,5.480276
10.0,10,5.492919
16.0,16,5.521224
10.0,10,5.534362
16.0,16,5.55025
14.0,14,5.560715
8.0,8,5.570103
8.0,8,5.575886
10.0,10,5.588993
10.0,10,5.596709
13.0,13,5.609125
12.0,12,5.625867
12.0,12,5.638697
13.0,13,5.652988
11.0,11,5.661777
14.0,14,5.675196
14.0,14,5.685359
10.0,10,5.694449
9.0,9,5.700143
12.0,12,5.710568
10.0,10,5.720524
10.0,10,5.727377
14.0,14,5.741128
10.0,10,5.746978
12.0,12,5.757433
9.0,9,5.764008
13.0,13,5.777352
13.0,13,5.788906
10.0,10,5.79548
11.0,11,5.806152
11.0,11,5.813744
10.0,10,5.820182
14.0,14,5.830461
8.0,8,5.837747
10.0,10,5.843947
14.0,14,5.854824
12.0,12,5.862919
16.0,16,5.876179
12.0,12,5.885916
10.0,10,5.892631
12.0,12,5.902498
13.0,13,5.914564
13.0,13,5.924255
17.0,17,5.935802
11.0,11,5.944146
9.0,9,5.95038
12.0,12,5.960104
10.0,10,5.968171
12.0,12,5.977293
19.0,19,5.993785
15.0,15,6.008021
15.0,15,6.021449
17.0,17,6.034878
15.0,15,6.049499
9.0,9,6.055543
13.0,13,6.069517
18.0,18,6.0869
9.0,9,6.098015
21.0,21,6.117862
12.0,12,6.128162
11.0,11,6.142063
10.0,10,6.152965
13.0,13,6.161341
12.0,12,6.167987
13.0,13,6.179468
