#{"t_start": 1759324883.863047, "env_id": "CartPole-v1"}
r,l,t
14.0,14,1.405015
28.0,28,1.408128
10.0,10,1.409135
47.0,47,1.411761
22.0,22,1.413292
11.0,11,1.414868
40.0,40,1.417501
31.0,31,1.420022
16.0,16,1.422047
25.0,25,1.423575
23.0,23,1.425653
42.0,42,1.429889
14.0,14,1.432407
30.0,30,1.43543
14.0,14,1.436474
28.0,28,1.440019
43.0,43,1.442721
34.0,34,1.445276
28.0,28,1.446814
27.0,27,1.449885
15.0,15,1.451395
17.0,17,1.452935
9.0,9,1.452935
14.0,14,1.45447
20.0,20,1.45601
15.0,15,1.458529
18.0,18,1.460038
19.0,19,1.461063
17.0,17,1.462069
10.0,10,1.463602
53.0,53,1.467223
17.0,17,1.469259
46.0,46,1.473434
16.0,16,1.473943
27.0,27,1.477488
12.0,12,1.478495
23.0,23,1.480008
34.0,34,1.483073
20.0,20,1.484606
19.0,19,1.486135
21.0,21,1.488293
20.0,20,1.489804
26.0,26,1.50788
15.0,15,1.520774
9.0,9,1.526894
57.0,57,1.574031
38.0,38,1.606431
19.0,19,1.619876
12.0,12,1.628725
41.0,41,1.660688
13.0,13,1.668399
23.0,23,1.684634
19.0,19,1.700029
25.0,25,1.715477
8.0,8,1.721026
27.0,27,1.739976
20.0,20,1.753305
26.0,26,1.7718
10.0,10,1.779868
17.0,17,1.79116
19.0,19,1.804901
21.0,21,1.818217
25.0,25,1.835004
40.0,40,1.86061
21.0,21,1.877336
11.0,11,1.88564
18.0,18,1.900206
8.0,8,1.90625
13.0,13,1.91423
25.0,25,1.929732
28.0,28,1.950419
18.0,18,1.965343
20.0,20,1.983183
15.0,15,1.992955
19.0,19,2.008328
13.0,13,2.016479
25.0,25,2.036299
11.0,11,2.040877
30.0,30,2.066646
41.0,41,2.095929
27.0,27,2.114807
39.0,39,2.144325
15.0,15,2.152661
10.0,10,2.161414
26.0,26,2.17943
13.0,13,2.189739
25.0,25,2.205164
20.0,20,2.220032
13.0,13,2.228952
10.0,10,2.236096
24.0,24,2.253633
46.0,46,2.285293
11.0,11,2.294554
9.0,9,2.299168
17.0,17,2.309483
14.0,14,2.321783
17.0,17,2.333438
20.0,20,2.34565
19.0,19,2.361547
14.0,14,2.372217
17.0,17,2.386792
15.0,15,2.394237
18.0,18,2.41071
11.0,11,2.418016
19.0,19,2.430441
12.0,12,2.438067
17.0,17,2.454065
31.0,31,2.478152
13.0,13,2.487912
24.0,24,2.504524
49.0,49,2.5397
39.0,39,2.568305
51.0,51,2.603868
22.0,22,2.620343
47.0,47,2.657933
25.0,25,2.675079
12.0,12,2.683473
27.0,27,2.700438
25.0,25,2.715281
53.0,53,2.750607
15.0,15,2.762186
48.0,48,2.794644
112.0,112,2.878527
45.0,45,2.91009
10.0,10,2.919754
38.0,38,2.946211
27.0,27,2.969048
82.0,82,3.027913
38.0,38,3.057746
29.0,29,3.07912
38.0,38,3.104437
28.0,28,3.125502
24.0,24,3.14512
72.0,72,3.198343
47.0,47,3.231036
36.0,36,3.254748
25.0,25,3.277881
33.0,33,3.300929
133.0,133,3.400668
140.0,140,3.510758
74.0,74,3.564587
44.0,44,3.599608
37.0,37,3.625824
50.0,50,3.66406
9.0,9,3.67321
41.0,41,3.703718
21.0,21,3.719169
26.0,26,3.740651
17.0,17,3.754342
20.0,20,3.769555
14.0,14,3.778246
20.0,20,3.79442
11.0,11,3.802168
211.0,211,3.968162
20.0,20,3.984454
68.0,68,4.035395
209.0,209,4.193698
107.0,107,4.275065
119.0,119,4.365727
18.0,18,4.379493
126.0,126,4.487614
34.0,34,4.512508
65.0,65,4.568068
75.0,75,4.627879
13.0,13,4.637603
29.0,29,4.662118
115.0,115,4.749031
81.0,81,4.812301
38.0,38,4.840494
20.0,20,4.85375
164.0,164,4.9819
18.0,18,4.997527
129.0,129,5.097829
189.0,189,5.24902
147.0,147,5.365882
166.0,166,5.498897
106.0,106,5.582098
165.0,165,5.717144
215.0,215,5.890966
308.0,308,6.139061
216.0,216,6.316338
255.0,255,6.52528
261.0,261,6.743394
320.0,320,7.008762
270.0,270,7.240807
296.0,296,7.504741
337.0,337,7.868078
446.0,446,8.306338
500.0,500,8.846098
500.0,500,9.363285
267.0,267,9.646443
294.0,294,9.939315
318.0,318,10.225463
330.0,330,10.52062
500.0,500,10.955955
307.0,307,11.229491
207.0,207,11.411624
237.0,237,11.625515
332.0,332,11.921951
196.0,196,12.095121
230.0,230,12.290803
477.0,477,12.709583
214.0,214,12.897061
280.0,280,13.144127
500.0,500,13.553596
500.0,500,13.959244
203.0,203,14.106709
500.0,500,14.459075
227.0,227,14.621606
199.0,199,14.757859
169.0,169,14.873634
234.0,234,15.041229
316.0,316,15.268819
500.0,500,15.632283
500.0,500,15.987388
500.0,500,16.342714
432.0,432,16.647784
500.0,500,17.009944
500.0,500,17.356566
390.0,390,17.638547
500.0,500,18.002818
242.0,242,18.193036
500.0,500,18.629279
216.0,216,18.817668
500.0,500,19.255785
500.0,500,19.687518
201.0,201,19.865407
251.0,251,20.085657
500.0,500,20.567876
217.0,217,20.780443
274.0,274,21.04579
500.0,500,21.517667
500.0,500,21.964397
500.0,500,22.413534
415.0,415,22.778739
500.0,500,23.228503
500.0,500,23.672423
500.0,500,24.108605
500.0,500,24.677231
500.0,500,25.106061
166.0,166,25.253748
174.0,174,25.406368
500.0,500,25.83736
224.0,224,26.029342
500.0,500,26.47057
500.0,500,26.906848
471.0,471,27.311998
500.0,500,27.747886
500.0,500,28.187155
500.0,500,28.635075
500.0,500,29.072678
500.0,500,29.603903
500.0,500,30.121817
500.0,500,30.60031
500.0,500,31.029559
500.0,500,31.477885
500.0,500,31.91161
500.0,500,32.352001
500.0,500,32.784413
231.0,231,32.982536
210.0,210,33.165482
140.0,140,33.294641
144.0,144,33.420724
244.0,244,33.631143
500.0,500,34.055459
500.0,500,34.488981
500.0,500,34.906077
412.0,412,35.257065
500.0,500,35.682251
500.0,500,36.115516
500.0,500,36.552509
500.0,500,36.974144
500.0,500,37.414757
500.0,500,37.840702
228.0,228,38.071035
181.0,181,38.222759
152.0,152,38.328915
153.0,153,38.461816
204.0,204,38.633274
500.0,500,39.079538
500.0,500,39.501118
500.0,500,39.952972
481.0,481,40.368568
500.0,500,40.806214
500.0,500,41.249997
500.0,500,41.688213
182.0,182,41.845544
229.0,229,42.042113
500.0,500,42.477235
207.0,207,42.655697
196.0,196,42.826653
500.0,500,43.258266
243.0,243,47.054576
473.0,473,47.470793
432.0,432,47.860582
500.0,500,48.341691
278.0,278,48.590861
234.0,234,48.813818
266.0,266,49.050994
183.0,183,49.205455
200.0,200,49.383192
500.0,500,49.824506
195.0,195,49.992844
461.0,461,50.397707
500.0,500,50.830551
316.0,316,51.103095
450.0,450,51.50864
379.0,379,51.839781
251.0,251,52.054058
