#{"t_start": 1759376758.0383096, "env_id": "CartPole-v1"}
r,l,t
18.0,18,1.262428
16.0,16,1.263966
11.0,11,1.263966
14.0,14,1.265501
11.0,11,1.265501
15.0,15,1.26703
24.0,24,1.274698
26.0,26,1.287064
58.0,58,1.31795
22.0,22,1.328881
21.0,21,1.340711
18.0,18,1.351487
20.0,20,1.361806
13.0,13,1.367981
19.0,19,1.379911
13.0,13,1.385995
14.0,14,1.393132
17.0,17,1.400673
37.0,37,1.418003
16.0,16,1.425665
15.0,15,1.434455
25.0,25,1.446865
22.0,22,1.460081
26.0,26,1.473304
14.0,14,1.482013
21.0,21,1.491086
16.0,16,1.498325
17.0,17,1.506283
27.0,27,1.519726
16.0,16,1.527472
24.0,24,1.53914
22.0,22,1.550422
25.0,25,1.562511
34.0,34,1.577829
83.0,83,1.619348
18.0,18,1.627989
19.0,19,1.636299
21.0,21,1.646158
11.0,11,1.65241
39.0,39,1.670899
32.0,32,1.687257
21.0,21,1.698639
23.0,23,1.711585
19.0,19,1.72327
20.0,20,1.734591
32.0,32,1.751062
